Sample Skill,Similar Skills
dlp,isdn(0.9354846477508545),switchconfiguration(0.9333174824714661),enterprisenetworks(0.926560640335083),ciscorouter(0.9194193482398987),fwsm(0.9172918796539307)
cli,azurecloud(0.9154741764068604),loadbalancers(0.8671956062316895),amazons3(0.8594622611999512),dynatrace(0.8560455441474915),cloudservices(0.8484020829200745)
visualstudio2013,visualstudionet(0.9630972743034363),visualstudio2008(0.9596385955810547),netframework40(0.9587770700454712),visualstudio2017(0.9429910182952881),microsoftvisualstudio(0.9424868226051331)
firebug,eclipseide(0.8954708576202393),androidstudio(0.8782041668891907),brackets(0.8776456713676453),versioncontrolsystems(0.8770458102226257),mozilla(0.8769936561584473)
englishcommunicationskills,goodleadershipqualities(0.9286661148071289),quick learner(0.9189839959144592),flexibleattitude(0.9185333847999573),aselfstarter(0.9184321165084839),outstandingwritten(0.9147960543632507)
achievegoals,territoryplanning(0.9571563601493835),manufacturing sales(0.9494409561157227),management marketing(0.9484220147132874),time management(0.9475415945053101),analyticalproblem solving(0.9430648684501648)
fundmanagement,statutoryaudit(0.9602662324905396),taxaudit(0.9587146639823914),statutoryaudits(0.9540098309516907),salesaccounting(0.9538242220878601),accountreconciliation(0.952073335647583)
regulatoryreporting,treasuryoperations(0.9808865785598755),costoptimization(0.9800355434417725),correctiveaction(0.9790911674499512),strategicplanning&execution(0.9755998849868774),courier(0.9755236506462097)
erpimplementation,sarbanes oxley(0.9765294790267944),purchaseorders(0.9720041751861572),r2r(0.9713513255119324),profitcentre(0.9684849977493286),internalaudit(0.9627445936203003)
internalaudits,reportingsystems(0.979960560798645),fundflow(0.9779825806617737),grievances(0.9765236377716064),chartofaccounts(0.9755188822746277),supplierrelationshipmanagement(0.9722907543182373)
formulatingbudgets,reportingsystems(0.960330069065094),buildnewbusiness(0.9602023363113403),internalaudits(0.9592491984367371),humanresourcesmanagement(0.95340496301651),customerserviceoperations(0.9525418281555176)
statutorycompliance,compliancemanagement(0.9820805191993713),laborrelations(0.9812187552452087),qualitysystems(0.9805546402931213),productplanning(0.9788109064102173),programimplementation(0.9775553345680237)
indirecttaxation,taxreturns(0.9771258234977722),preparetaxreturns(0.9717219471931458),preparingfinancialstatements(0.9683443307876587),maintainsales(0.9662804007530212),bankreconciliationstatement(0.9592841863632202)
syteline,coa(0.9521573781967163),r2r(0.9515929222106934),cea(0.9452869892120361),statutoryaudit(0.9444437026977539),accountsreceivables(0.9443255066871643)
systeminformation,hvac(0.8793332576751709),crt(0.8619516491889954),jobtraining(0.8546502590179443),pos(0.8514171242713928),itsystems(0.8513953685760498)
presentable,backoffice(0.8411393165588379),videoeditor(0.8293261528015137),msofficeapplications(0.8244131803512573),photoediting(0.8149114847183228),microsoftoutlookexpress(0.8135638236999512)
msofficeapplications,maildrafting(0.9595175981521606),powerosenhancemnttool(0.9582648873329163),microsoftoutlookexpress(0.9576318860054016),msofficeapplication(0.9492916464805603),microsoftofficeapplications(0.9432334303855896)
mcse,cisconetworking(0.9652296304702759),antivirus(0.9607401490211487),anti virus(0.9512957334518433),ccna(0.9510443210601807),desktopsupport(0.9492853879928589)
firewalls,asa(0.9799028635025024),juniper(0.9694886803627014),firewall(0.9675092101097107),wan(0.9643198847770691),vlan(0.963871419429779)
cordova phonegap,xmlwebservices(0.9122049808502197),jasperreporting(0.903520941734314),jax rpc(0.8984454274177551),servicemix(0.8965457081794739),javasecurity(0.8861552476882935)
cordova,phonegap(0.9519295692443848),ajax javascript(0.9506212472915649),knockout(0.9504640698432922),rubyonrails(0.9420452117919922),ionicframework(0.9358086585998535)
mysqldatabase,flask(0.9193726778030396),kotlin(0.9130529165267944),python3(0.9101890921592712),firebase(0.9036211371421814),django(0.9019339084625244)
paymentgatewayintegration,service orientedarchitecture(0.8808844685554504),webapis(0.8756073713302612),angular js(0.8665624856948853),odpnet(0.8574124574661255),mysql database(0.8553765416145325)
technicalsolutions,client/serverapplications(0.9140037298202515),developmentlife cycle(0.9090850949287415),implementingbusiness(0.8911731839179993),businessrequirements(0.8858555555343628),applicationdesign(0.8809061050415039)
managestress,foresight(0.9558908343315125),convincingmanner(0.9521594047546387),keenlearnerandresultoriented(0.942771315574646),nastran(0.9351173043251038),autocad 2d(0.9341022372245789)
agile/scrumenvironment,agile/scrum(0.954401433467865),agilesoftwaredevelopmentmethodologies(0.9058068990707397),softwaredevelopmentprocess(0.9028961658477783),scrummethodology(0.8981491327285767),softwaredevelopmentmethodology(0.8970781564712524)
distanceeducation,saplogisticsmodules(0.9063615798950195),capitalmarket(0.892241895198822),marketrisk(0.874824583530426),algo(0.867046058177948),edw(0.8657950162887573)
technicalspecification,development/testing(0.8402782082557678),directinteraction(0.8379999995231628),mobile/web(0.8279028534889221),21cfrpart11(0.8261276483535767),qa test(0.8238518834114075)
systemsintegration,processre engineering(0.9776542782783508),fsd(0.9724262356758118),businessrequirementdocuments(0.969875156879425),testcases testplans(0.9610649943351746),teststrategies(0.9583866596221924)
resourceutilization,budgetplanning(0.9665846824645996),qualityaudit(0.9543360471725464),supplymanagement(0.9467368721961975),itoperations(0.9430868029594421),budgetpreparation(0.9423511624336243)
designreviews,applicationstesting(0.9659897089004517),design design(0.9539170861244202),ad hoc(0.9466065764427185),systemintegrationtesting(0.945910632610321),junittesting(0.9438427686691284)
clientexpectation,functionalsupport(0.8945339918136597),directinteraction(0.892945408821106),fieldtesting(0.8866684436798096),csqa(0.8842458724975586),black boxtesting(0.8782286047935486)
useracceptancetesting,useracceptance(0.989703357219696),smoketesting(0.9825078248977661),systemtesting(0.9791519045829773),acceptancetesting(0.9748096466064453),blackbox(0.9681293368339539)
acceptancetesting,useracceptance(0.9765885472297668),useracceptancetesting(0.9748097062110901),smoketesting(0.9715873599052429),buglifecycle(0.9685317277908325),sanitytesting(0.9670044779777527)
designingsolutions,analysing(0.9430487155914307),projectsupport(0.9382800459861755),codeoptimization(0.9343922734260559),s1000d(0.9312228560447693),strategicgoals(0.9279300570487976)
restfulwebservices,springsecurity(0.9595823287963867),restfulservices(0.9591795206069946),jax(0.9541220664978027),jax ws(0.9489092826843262),springcore(0.9434590935707092)
productdelivery,businessprocessconsulting(0.9260179996490479),settargets(0.9123868942260742),clientmeetings(0.9097384810447693),ideation(0.9086766839027405),corporatestrategies(0.9045130610466003)
sanity,sanitytesting(0.9721469283103943),systemtesting(0.9698984026908875),blackbox(0.9653147459030151),blackboxtesting(0.9649909734725952),useracceptance(0.9604182839393616)
scorm,symfony(0.9473344087600708),corephp(0.9454576969146729),mobileappdesign(0.9421069622039795),opencart(0.9333640336990356),gulpjs(0.9273384213447571)
creditcards,insurancebusiness(0.906253457069397),customercentric(0.8887896537780762),businessplanning(0.8880201578140259),sales distribution(0.8865964412689209),retailing(0.8768696784973145)
officeequipment,qualitycustomerservice(0.9760072827339172),irda(0.9723262786865234),purchaserequisition(0.9672781229019165),upselling(0.9661298990249634),personalloan(0.9656615257263184)
clientrequirement,artificialintelligence(0.7639403343200684),datavalidation(0.7124201059341431),scikit learn(0.7040660381317139),graph(0.689838171005249),creatingdatabase(0.6628639101982117)
shoppingcart,msdynamicscrm(0.876743495464325),fsa(0.8214959502220154),businessconsulting(0.8172130584716797),itsector(0.8001323938369751),dynamicscrm(0.7990888357162476)
catalog management,keywordresearch(0.8203692436218262),seo(0.7874030470848083),landingpages(0.7828642725944519),webmaster(0.7828406095504761),tagmanager(0.7714263200759888)
real estate,patternrecognition(0.729071855545044),tagmanager(0.6974884271621704),ecommercewebsite(0.6913753151893616),portaldevelopment(0.688072681427002),php(0.679909884929657)
magento,joomla(0.9507724046707153),opencart(0.9375869035720825),linuxmint(0.9264258146286011),animation(0.9211856722831726),mobileappdesign(0.9210873246192932)
developmentplanning,marketsurveys(0.8993161916732788),hlookup(0.8978111743927002),ensemble(0.8973063826560974),customerrelation(0.8967639207839966),solidedge(0.896490216255188)
statisticalanalysis,advancedanalytics(0.9373868107795715),bde(0.8993623852729797),sasmacros(0.8956230282783508),researchandanalysis(0.8943794965744019),trendanalysis(0.8928898572921753)
presentingideas,dashboardreporting(0.8621544241905212),businessreviews(0.8560822606086731),staffsupervision(0.855802059173584),articlewriting(0.855577290058136),engineering management(0.8412216901779175)
scientificresearch,pitching(0.9481849670410156),extensiveresearch(0.9382733106613159),recruitmentprocess(0.9368066191673279),biotechnology(0.9326608180999756),salespromotion(0.9316450357437134)
uidesign,clientdevelopment(0.9522700309753418),back end(0.9439904093742371),object orientedanalysis(0.9401921033859253),distributedsystem(0.9373120665550232),front endtechnologies(0.9110189080238342)
extjs,javascriptframeworks(0.9742124080657959),backbonejs(0.9574563503265381),rubyonrails(0.9525097608566284),requirejs(0.9486293792724609),dojo(0.9443033337593079)
dojo,requirejs(0.9785080552101135),jqueryui(0.9631029367446899),backbonejs(0.9617130160331726),yui(0.9514792561531067),angular5(0.9485205411911011)
kony,uml design(0.9374587535858154),caching(0.9370966553688049),webapplicationsdevelopment(0.9266905784606934),tokens(0.9254653453826904),architectural/design(0.9217113256454468)
identifyingbusinessopportunities,identifyingbusiness(0.9248915910720825),xul(0.9026020765304565),angularjsframework(0.8985922336578369),providedfeedback(0.8944613337516785),googlecharts(0.8836281895637512)
identifyingbusiness,identifyingbusinessopportunities(0.9248915314674377),xul(0.9040159583091736),webinterfaces(0.8913220763206482),latestwebtechnologies(0.8808343410491943),angularjsframework(0.8716018795967102)
versioncontrolsystem,versioncontrolsystems(0.9562867879867554),versioncontrol(0.951636791229248),controlsystems(0.9330483675003052),intellij(0.9218369126319885),cvs(0.9214174747467041)
development testing,design development(0.9502109289169312),objectorientedanalysis(0.9434078335762024),softwaredesign(0.9052361845970154),applicationdesign(0.9019169211387634),developmentlife cycle(0.9008449912071228)
developingsoftware,j2eedevelopment(0.9295299053192139),lld(0.9133265614509583),rdbmsconcepts(0.8878906965255737),unittests(0.8876016736030579),web application(0.8854728937149048)
springframeworks,springjpa(0.9762296080589294),springwebflow(0.9710832238197327),restfulweb services(0.9709915518760681),apachestruts(0.9701439142227173),googlewebtoolkit(0.9690521359443665)
testplans,traceabilitymatrix(0.9712483286857605),blackboxtesting(0.9677784442901611),testscenarios(0.9675459861755371),useracceptancetesting(0.965755820274353),blackbox(0.9624756574630737)
maintenancesupport,conductcodereviews(0.9268985986709595),wirelessnetworking(0.9106889963150024),s1000d(0.9064286351203918),analysinginformation(0.8920382857322693),systemintegration(0.8860961198806763)
adf,jmx(0.9628946781158447),ormframework(0.9544242024421692),ormtechnologies(0.9515587091445923),xmlschemas(0.948966383934021),mybatis(0.9489044547080994)
scriptinglanguages,c c(0.8868734836578369),androiddevelopment(0.8708719611167908),dbms(0.86956387758255),my sql(0.8667910695075989),prolog(0.85377037525177)
gulpjs,oojs(0.9742904305458069),css 3(0.9648348093032837),canvas(0.9609672427177429),jquerymobile(0.959299623966217),senchatouch(0.9586272835731506)
challengingsituations,writtenandoralcommunication(0.9473329782485962),articulate(0.9319326877593994),writingskills(0.9314181804656982),motivational(0.9308665990829468),smartworking(0.9264817237854004)
visualizations,datablending(0.9396751523017883),donut(0.9380554556846619),businessintelligence(0.917619526386261),calculations(0.9055230617523193),saplumira(0.8921080231666565)
logos,psd(0.9395974278450012),interfacedesign(0.9218164682388306),contentmanagementsystems(0.9131971597671509),seotechniques(0.8945391178131104),contentmanagementsystem(0.8905041217803955)
marketingcollaterals,b2cmarket(0.909228503704071),mobilemarketing(0.9054823517799377),payperclick(0.9036599397659302),affiliatemarketing(0.8996679186820984),contentcreation(0.8988068103790283)
systemrequirements,processtraining(0.947028398513794),communicatingclientrequirements(0.9449687600135803),qtptesting(0.9410105347633362),ramp(0.9401871562004089),businessprocessre engineering(0.9372653961181641)
reduxjs,coraldraw(0.9058558940887451),theming(0.884521484375),opencart(0.8812283873558044),adobeimageready(0.8762195110321045),c  (0.8721010684967041)
artwork,searchengineoptimisation(0.9278814792633057),nortonantivirus(0.9031659364700317),offpageoptimization(0.902532696723938),illustration(0.8890926837921143),adobeindesign(0.8860309720039368)
thermodynamics,talentacquisition(0.9335405826568604),channelpartners(0.9309344291687012),marketingprofessional(0.9283640384674072),rfpmaterialusagevariance(0.9275397658348083),followups(0.9221169352531433)
vlsidesign,circuitdesign(0.8565880060195923),meettargets(0.8516820073127747),circuitanalysis(0.8406776785850525),hardwaredesign(0.8229870200157166),agm(0.8121132254600525)
embeddeddesign,immigration(0.8322846293449402),buildrelationship(0.8055678009986877),microprocessor(0.8028488159179688),rtos(0.7706437706947327),microprocessors(0.7691423892974854)
oojs,gulpjs(0.9742904901504517),jquerymobile(0.965686023235321),bootstrap40(0.965512216091156),svg(0.9601506590843201),chartjs(0.9585988521575928)
caching,restfulapis(0.9448952078819275),model view controller(0.9393746256828308),pojo(0.9389716982841492),kony(0.9370965957641602),strongprogrammingskills(0.9368829131126404)
javascriptlibraries,chartjs(0.964751124382019),emberjs(0.9646089673042297),angular5(0.9617918133735657),js angular(0.9604261517524719),responsivewebsites(0.9565572142601013)
requirejs,backbonejs(0.9786242246627808),dojo(0.9785078167915344),twitterbootstrap(0.9780177474021912),d3(0.9744811654090881),jqueryui(0.9705212116241455)
micro services,rsm(0.9739395976066589),batchprocess(0.9655292630195618),camel(0.9615139365196228),spring ioc(0.9551622271537781),spring mvc(0.9460399746894836)
aspnetwebapi,android api(0.9679749608039856),aspnet40(0.9673079252243042),azureapi(0.9668327569961548),kendoui(0.9631407260894775),windowspowershell(0.9550393223762512)
azurecloud,dynatrace(0.9403772950172424),loadbalancers(0.9351184964179993),parquet(0.9272506833076477),documentdb(0.9244339466094971),auto scaling(0.9229196906089783)
durandal,aurelia(0.9542852640151978),jquerymobile(0.9539074301719666),ext js(0.9536864161491394),oojs(0.9482402205467224),handlebars(0.9467185139656067)
webdevelopmenttools,webprogramming(0.9344455599784851),cpp(0.9145771861076355),convolutionalneuralnetwork(0.900741696357727),opencv(0.8991335034370422),web(0.8972941040992737)
fiddler,wincvs(0.9217151999473572),symbian(0.9213975071907043),vsts(0.9131594896316528),virtualbox(0.9091869592666626),versionone(0.9034029245376587)
analog,networkengineering(0.9046790599822998),technicaltroubleshooting(0.9025614261627197),ciscowireless(0.8975942134857178),bizagi(0.8959943652153015),hardwarenetworking(0.8924270868301392)
gesturerecognition,microcontroller8051(0.7775983214378357),handlepressureandmeetdeadlines(0.7553202509880066),immigration(0.7388915419578552),interpersonalskill(0.7379487752914429),embeddeddesign(0.7348949909210205)
motors,fireprotection(0.9172984957695007),achievecompanyobjectives(0.9151339530944824),heating(0.9149499535560608),decision makingskills(0.9138305187225342),motivational(0.9120263457298279)
interpersonalskill,problemsolvingability(0.8979098796844482),skilldevelopment(0.8800982236862183),mobilecomputing(0.8656047582626343),leadershipqualities(0.8654623031616211),punctuality(0.8565739393234253)
intrusiondetection,a+(0.9280894994735718),ciscoccna(0.9250754117965698),noc(0.9218877553939819),ciscopackettracer(0.9206268191337585),dameware(0.9166351556777954)
fuzzyclustering,web2py(0.8550809621810913),object relationalmapper(0.8139104247093201),db mysql(0.7657352685928345),scipy(0.7571409344673157),emacs(0.7501342296600342)
databasedesign,databasedevelopment(0.9198402762413025),sybase sqlserver(0.9163470268249512),storedprocedures(0.9121317267417908),low leveldesigns(0.9068837761878967),databasemanagementsystem(0.8991630673408508)
abinitio,tidal(0.983543336391449),dataextraction(0.9427016377449036),datawarehouses(0.9417267441749573),etlprocesses(0.9390575289726257),netezza(0.9380066990852356)
tal,computernetworks(0.8950661420822144),computerassembly(0.8852372765541077),it hardware(0.8850778937339783),systemmanagement(0.881659746170044),calculus(0.8703394532203674)
fullstack,angular6(0.9281051158905029),webdevelopment(0.9114872813224792),angular7(0.909719705581665),uidevelopment(0.908690869808197),webdevelopmenttechnologies(0.9086103439331055)
resultdriven,document development(0.8767709136009216),frontenddesign(0.8747068047523499),zendframework2(0.8635721206665039),data structures(0.8505586981773376),phpframework(0.8494368195533752)
vuejs,angular4(0.9451201558113098),angular7(0.9449965953826904),js angular(0.9399291276931763),angular5(0.9380588531494141),ionicframework(0.9326474666595459)
lamp,heroku(0.9022084474563599),loadbalancers(0.8863574266433716),apachewebserver(0.8760476112365723),service now(0.8715824484825134),nginx(0.8665362596511841)
codeigniter,materialdesign(0.9687347412109375),stylesheets(0.9597181081771851),angular4(0.9538293480873108),laravel(0.9519655108451843),css30(0.948951005935669)
angular ui,canvas(0.965013325214386),senchatouch(0.9536952972412109),handlebars(0.9491002559661865),phpdevelopment(0.9471260905265808),googlemap(0.9465641379356384)
angularmaterial,cross browsercompatibility(0.9635409712791443),javascriptframeworks(0.9485085010528564),angular6(0.9452760219573975),js ext(0.9425041079521179),phonegap(0.9420918822288513)
hybridapp,big data(0.8474409580230713),smarty(0.8443442583084106),mobiledevelopment(0.8301765322685242),requirement analysis(0.8285083174705505),internettechnologies(0.8085900545120239)
angular2,angular5(0.9646070599555969),angular6(0.9627405405044556),angular7(0.9627198576927185),angular4(0.959624171257019),react(0.9507567286491394)
browsercompatibility,responsiveweb(0.9343868494033813),userinterface(0.9269105195999146),sitecore(0.9262391924858093),accessibility(0.9131694436073303),scratch(0.9032065272331238)
actionscript,quarkxpress(0.918580174446106),uiapplications(0.9122126698493958),drupal(0.9117937684059143),cordova/phonegap(0.9071305990219116),gimp(0.9055456519126892)
mobiletechnology,seotechniques(0.8804516196250916),mdf(0.8661692142486572),listings(0.8526757955551147),c  (0.8455055952072144),cascadingstylesheets(0.8359755277633667)
thinclient,msdynamicscrm(0.8046581149101257),odata(0.7811639904975891),dynamicscrm(0.7779949307441711),crm(0.7596924304962158),shoppingcart(0.758972704410553)
visualstudiocode,notepad++(0.9365794658660889),atom(0.9195506572723389),microsoftvisualstudio(0.9144097566604614),brackets(0.9122674465179443),visualstudio(0.8928149342536926)
adobeflashbuilder,microsoftpublisher(0.8885472416877747),adobekuler(0.8621901273727417),coda(0.8390117883682251),microsoftvisualsourcesafe(0.8349328637123108),homesite(0.8275660276412964)
adobeflash,fireworks(0.9604175686836243),adobephotoshop(0.9467142224311829),adobedreamweaver(0.9439347386360168),dreamweaver(0.9379939436912537),drupal(0.9361844062805176)
flashbuilder,wcms(0.8926049470901489),macromediaflash(0.8861702680587769),adobecreativecloud(0.8853017091751099),textmate(0.882981538772583),microsoftvisualsourcesafe(0.8733134865760803)
flavors,elasticloadbalancing(0.927867591381073),snowball(0.9275293946266174),route53(0.9256489872932434),amazonsqs(0.9253318309783936),rdb(0.9224161505699158)
googlechrome,zend(0.9151759743690491),androidsdk(0.9129949808120728),css30(0.9003927707672119),object orientedjavascript(0.8894661068916321),phpframework(0.8868083953857422)
ms sql,telerik(0.9675604104995728),sqlserver2012(0.9669561386108398),sqlserver2005(0.9665148854255676),rdlc(0.9545633792877197),netframework35(0.9532434940338135)
appian,umldesign(0.891596257686615),dcom(0.8526669144630432),rpg/400(0.8415281772613525),sqlcoding(0.8389826416969299),soa/bpel(0.834243655204773)
softwarequality,testplans(0.9613903164863586),testscenarios(0.957183837890625),softwarequalityassurance(0.9564331769943237),traceabilitymatrix(0.950151801109314),teststrategies(0.9490168690681458)
csat,ran(0.8806955814361572),spm(0.8803814053535461),presentations(0.8782314658164978),dispensing(0.877501904964447),teaching(0.8728021383285522)
highcustomersatisfaction,multipleresponsibilities(0.9450523257255554),analyticalinstruments(0.9259231686592102),decision makingskills(0.9245941042900085),commercialawareness(0.9181303381919861),accountstrategy(0.9173926115036011)
formulalanguage,excel&powerpointtheabilitytoreadandunderstandengineeringdrawings5sactivitiesiso9001(0.6588197350502014),businesstobusinesssales(0.6377447247505188),iscala(0.6357342600822449),smartsuitemrp(0.634476363658905),decisionsupportsystem(0.6306142210960388)
crystalreport,vb60(0.9375524520874023),sqlserver2012(0.9325317144393921),ms sql(0.9315125942230225),sql server(0.924115777015686),ssrs(0.9224663376808167)
microprocessor,sbs(0.8671460747718811),dtmf(0.8649682998657227),tcp ip(0.8623964786529541),codec(0.8559525609016418),microsoftwindows2000(0.8494796752929688)
excelsheet,ssp(0.902653157711029),msofficetools(0.8319480419158936),mtm(0.8091314435005188),erd(0.8047723770141602),itsm(0.7972071766853333)
distributionsystem,pharmaceutical(0.908381462097168),usersupport(0.9029731750488281),detailedanalysis(0.8910244107246399),complexeventprocessing(0.8904520273208618),laborlaws(0.8903017640113831)
selfmotivation,punctuality(0.9654820561408997),gooddecisionmaking(0.9604471921920776),team player(0.9505636096000671),greatlistener(0.9500603675842285),goodorganizational(0.9485296010971069)
databases,oracle11g(0.7931199073791504),postgres(0.7926275134086609),databasesystems(0.7862609624862671),webframeworks(0.7852681875228882),oracle sql(0.7781984806060791)
fieldwork,cinematography(0.9742915034294128),followups(0.9667355418205261),salesandmarketing(0.964451014995575),irda(0.9639735221862793),advertisement(0.9629510045051575)
bugtracking,bugtrackingtool(0.9694559574127197),bugtrackingtools(0.9609497785568237),bugzilla(0.9390069842338562),hpalm(0.9365732669830322),defecttrackingtool(0.9358459711074829)
microprocessors,buildrelationship(0.9154103398323059),windowsos(0.900557816028595),windowsoperatingsystem(0.8630139231681824),verilog(0.8625533580780029),adaptable(0.8612192869186401)
microcontrollers,embeddedsystem(0.9625465273857117),raspberrypi(0.8689103722572327),linuxdevicedrivers(0.8602211475372314),dtmf(0.8514783978462219),codewarrior(0.8433195352554321)
mingle,drafting(0.9238355159759521),testequipment(0.9171179533004761),eagle(0.9016522169113159),microsoftofficeprograms(0.8945603370666504),workindependent(0.8940116763114929)
beam,yardi(0.9553884267807007),atlas(0.932249903678894),siemensnx(0.9307391047477722),autodesk(0.9294756054878235),ctp(0.9293949604034424)
appdevelopment,androidappdevelopment(0.90683513879776),ppt(0.8462806940078735),interpersonalskill(0.8452681303024292),multimedia(0.8443464040756226),personal(0.8327552080154419)
gamedevelopment,reasoningskills(0.8943727612495422),selflearner(0.8942477703094482),greatlistener(0.8721921443939209),teamworking(0.868091881275177),mobilecomputing(0.8644317984580994)
payrollmanagement,learningmanagement(0.9497761130332947),accountreceivable(0.9256748557090759),hrmis(0.9234643578529358),hrprocess(0.9213260412216187),ustax(0.9148908257484436)
misreporting,workingcapitalmanagement(0.9736119508743286),capitalmanagement(0.9689252972602844),measuring(0.9672187566757202),prospectiveclients(0.9595251679420471),military(0.9593735337257385)
tds,bankreconciliation(0.9620910882949829),servicetax(0.9599128365516663),vat(0.9598049521446228),expensereports(0.954618513584137),reconciliations(0.953900933265686)
vat,maintainsales(0.967659056186676),tds(0.9598049521446228),creditcontrol(0.9544039964675903),indirecttaxes(0.9519767165184021),xero(0.9454950094223022)
salestax,servicetax(0.9211533069610596),vat(0.9013943076133728),ate(0.8971552848815918),aspe(0.8955442905426025),viso(0.893623411655426)
accounts;preparing,xero(0.8759946227073669),cce(0.8696224093437195),taxreturns(0.8619062304496765),paymentfollowup(0.8618052005767822),indirecttaxation(0.8612304329872131)
accounts;handling,financialmodels(0.9477508664131165),salesaccounting(0.9441169500350952),accountanalysis(0.9437964558601379),paymentfollowup(0.942624032497406),businessfinance(0.9408788084983826)
pharmasales,marketingstrategy(0.959848940372467),marketingprofessional(0.9578794836997986),brandawareness(0.9577827453613281),contentmarketing(0.9556865096092224),marketingcampaigns(0.9508720636367798)
marketresearchandanalysis,employeeengagement(0.9708800911903381),leadmanagement(0.966401219367981),marketingoperations(0.9638765454292297),incentive(0.9631848931312561),upselling(0.9594715237617493)
researchandanalysis,on page(0.9614932537078857),trendanalysis(0.9603126049041748),productlines(0.9598878622055054),processoptimization(0.95619797706604),peopledevelopment(0.9443877339363098)
publichealth,guidance(0.9294492602348328),medicaltranscription(0.9179738163948059),customerliaison(0.9169061183929443),service|sales(0.9130263924598694),dataarchiving(0.9127796292304993)
typingskills,excellentwrittenandverbalcommunication(0.9526322484016418),keyboarding(0.9525759816169739),excellentverbalskills(0.9523749351501465),decision makingskills(0.9514053463935852),managemultipletasks(0.9508172273635864)
asm,datapump(0.9834538102149963),cloning(0.9811837077140808),rman(0.9786038398742676),oracledba(0.9780703783035278),realapplicationcluster(0.9778167009353638)
remotesensing,•	sap terp10certification		duisburg essenuniversitygermany(0.8541733622550964),•quicklearner goodteamplayer businessorientedmindset(0.8332548141479492),meetingdeadlines(0.8253864049911499),teamoralone(0.8088657259941101),angular 6(0.8012514710426331)
imagesegmentation,segmentation(0.951724112033844),judo(0.8223662376403809),remotesensing(0.7672560214996338),abilitytobediscreetanddiplomatic(0.7306873798370361),linuxadminstration(0.7256274819374084)
c language,webtechnology(0.934235692024231),prize(0.9074375033378601),ill(0.8853060603141785),web technology(0.8814171552658081),handlingresponsibilities(0.876349687576294)
digitalcampaign,brandawareness(0.9755461812019348),businesscomputing(0.9702665209770203),coordinatemarketing(0.9694324731826782),marketingplans(0.96942138671875),marketing business(0.9652089476585388)
ads,sale(0.8507119417190552),optimization(0.8144016861915588),logisticregression(0.8111791610717773),k meansclustering(0.7851162552833557),socialnetworking(0.7544577121734619)
productanalysis,businessdecisions(0.9656661152839661),opex(0.9643294811248779),talentdevelopment(0.963615894317627),businessenvironment(0.9631333947181702),strategicalliances(0.9628850221633911)
keywordresearch,offpage(0.9121577143669128),landingpages(0.9019779562950134),contentoptimization(0.889276921749115),seo(0.8721299171447754),webmaster(0.8687050342559814)
onpage,mobileapps(0.8752937912940979),usabilitytesting(0.8670087456703186),rpauipath(0.8600916266441345),mobileapp(0.8478436470031738),automationtestscripts(0.843302309513092)
offpageoptimization,offpage(0.9390236735343933),socialmediaoptimization(0.9242326021194458),emailmarketing(0.9106132984161377),artwork(0.9025326371192932),socialmediaplatforms(0.8912826180458069)
landingpages,keywordresearch(0.9019779562950134),offpage(0.8966630697250366),seo(0.8810875415802002),newmedia(0.8726029992103577),printmedia(0.8679211735725403)
offpage,socialmediaoptimization(0.9680784344673157),searchengineoptimization(0.9390563368797302),offpageoptimization(0.9390236139297485),seo(0.9287490844726562),keywordresearch(0.9121576547622681)
stockmarket,stockbroking(0.9549389481544495),ncr(0.9534808993339539),salesmodel(0.9474947452545166),countrymanagement(0.9382980465888977),capitalmanagement(0.9378507733345032)
healthinsurance,acquisition(0.9214891195297241),realestate(0.9213770031929016),lifeinsurance(0.8905739188194275),creditcard(0.8776795864105225),promotionactivities(0.8695933222770691)
mf,sqr(0.8629614114761353),apd(0.8497112989425659),netweaver(0.8392166495323181),datamover(0.8267291784286499),sapbods(0.8265482783317566)
cfd,operationalrisk(0.9589808583259583),frm(0.9554784893989563),tradeexecution(0.9529666304588318),pipelinedevelopment(0.945759117603302),isostandards(0.9427308440208435)
currencymarket,development sales(0.9598039388656616),investmentproducts(0.9571421146392822),leadmanagement(0.9570322036743164),tacticalplanning(0.9557904005050659),service sales(0.9553860425949097)
growbusiness,irda(0.9548493027687073),investmentproducts(0.9517271518707275),retailoperations(0.9514839053153992),development sales(0.9468503594398499),currencymarket(0.9467970728874207)
healthinsurancebusiness,masonry(0.9640883803367615),product pricing(0.9612338542938232),marketingefforts(0.9566733837127686),p&lresponsibility(0.9525941014289856),increasemarket(0.9518135190010071)
insurancebusiness,retailing(0.9347540140151978),businesstransformation(0.9300986528396606),sellingproducts(0.9256478548049927),newcustomerdevelopment(0.9230971336364746),marketingdomain(0.9194362163543701)
salesprocesses,strategize(0.9272994995117188),teamactivity(0.9200347065925598),persuasion(0.9106653332710266),accountstrategy(0.9098337888717651),medicalequipments(0.908782422542572)
developstrategies,businessdevelopmentexecutive(0.9804781079292297),increasemarket(0.973865270614624),monthlysales(0.9727559089660645),humanresourcesmanagement(0.9724672436714172),salesperformance(0.9698447585105896)
achievingprofitability,rubber(0.9445309638977051),productionmanagement(0.9425051212310791),jit(0.9353574514389038),ehs(0.9346015453338623),keyaccounts(0.9337528944015503)
